"record_id","day","person_id","day_time","task","status_of_task"
1,"2024-01-09",1,"15:00:00",1,"failled"
2,"2024-01-10",4,"10:00:00",3,"done"
3,"2024-01-11",2,"13:20:00",2,"processing"
4,"2024-01-09",5,"15:00:00",1,"done"
5,"2024-01-09",8,"15:00:00",1,"done"
6,"2024-01-11",1,"13:20:00",4,"done"
7,"2024-01-11",5,"13:20:00",4,"done"
8,"2024-01-11",8,"13:20:00",4,"failed"
9,"2024-01-11",1,"10:00:00",6,"done"
10,"2024-01-11",5,"10:00:00",6,"done"
11,"2024-01-11",8,"10:00:00",6,"failed"
12,"2024-01-15",3,"16:00:00",5,"not started"
